date,Open,High,Low,Close,Volume
2018-01-02,74.85,75.24,74.03,75.17,13578835.0
2018-01-03,75.08,75.71,74.7,75.28,11901037.0
2018-01-04,76.14,77.81,75.98,76.82,12953656.0
2018-01-05,77.04,77.33,75.56,76.12,14154974.0
2018-01-08,75.93,76.46,75.48,76.28,12466512.0
2018-01-09,76.5,77.41,76.27,76.83,13292310.0
2018-01-10,77.25,78.48,77.17,78.03,15834468.0
2018-01-11,78.45,78.71,77.83,78.62,13676788.0
2018-01-12,79.43,80.63,78.62,80.45,18884229.0
2018-01-16,79.29,81.21,78.85,80.05,22703336.0
2018-01-17,79.67,81.08,79.09,80.77,14940266.0
2018-01-18,80.54,81.5,80.05,81.04,14572911.0
2018-01-19,81.72,82.12,80.58,80.79,18785468.0
2018-01-22,80.44,82.17,80.28,82.11,12475654.0
2018-01-23,81.45,82.42,81.13,81.99,12320751.0
2018-01-24,82.64,83.78,82.44,83.45,15904504.0
2018-01-25,83.82,83.95,82.86,83.48,13509957.0
2018-01-26,83.48,84.1,82.74,84.1,13882600.0
2018-01-29,83.8,85.13,83.8,83.98,11679919.0
2018-01-30,83.31,84.38,82.76,82.89,14279124.0
2018-01-31,83.43,84.44,82.94,83.45,13141423.0
2018-02-01,83.55,84.77,83.26,84.65,13800613.0
2018-02-02,84.27,84.7,81.87,82.06,16477307.0
2018-02-05,80.78,82.37,71.76,76.58,30097591.0
2018-02-06,74.63,80.26,74.39,79.89,33114833.0
2018-02-07,79.33,82.23,78.93,80.65,21878324.0
2018-02-08,80.89,80.89,75.62,75.66,27425837.0
2018-02-09,76.88,78.83,74.01,77.82,28188027.0
2018-02-12,78.95,80.5,77.85,79.52,18043325.0
2018-02-13,79.1,80.83,78.58,80.21,16358181.0
2018-02-14,80.41,83.05,80.31,82.81,15186858.0
2018-02-15,83.52,83.77,82.0,83.29,12130197.0
2018-02-16,82.33,83.85,82.28,82.46,13214253.0
2018-02-20,82.43,83.17,81.75,82.49,13461495.0
2018-02-21,82.78,85.23,82.45,82.97,14212461.0
2018-02-22,83.28,84.21,82.54,82.76,17070356.0
2018-02-23,83.09,85.17,83.09,85.09,12162523.0
2018-02-26,85.92,86.68,85.1,86.55,16511229.0
2018-02-27,86.69,87.11,85.13,85.14,17563345.0
2018-02-28,85.6,86.27,83.12,83.28,17735637.0
2018-03-01,83.26,84.42,80.43,81.21,18690017.0
2018-03-02,80.17,81.34,78.9,81.1,18353697.0
2018-03-05,79.83,83.71,79.67,82.84,13933039.0
2018-03-06,83.42,83.6,82.1,82.94,10674360.0
2018-03-07,81.53,82.88,80.89,82.51,13006514.0
2018-03-08,82.89,83.01,80.99,82.52,11173721.0
2018-03-09,84.33,85.86,83.45,85.82,15366583.0
2018-03-12,85.78,86.53,85.03,85.44,12339295.0
2018-03-13,85.98,86.25,83.61,84.03,13312340.0
2018-03-14,84.34,84.37,82.38,82.73,12905124.0
2018-03-15,83.65,83.78,82.61,83.02,8747977.0
2018-03-16,83.12,84.38,83.12,83.22,19888948.0
2018-03-19,82.88,83.23,81.08,82.31,13214919.0
2018-03-20,82.65,83.22,82.22,82.42,9921175.0
2018-03-21,82.59,84.41,81.99,82.52,13632983.0
2018-03-22,80.98,81.38,77.32,77.73,22550426.0
2018-03-23,78.05,78.7,74.54,74.79,23081509.0
2018-03-26,76.97,78.94,76.43,78.09,20217469.0
2018-03-27,78.85,79.47,75.08,75.95,18039921.0
2018-03-28,76.06,76.95,74.43,75.78,19189269.0
2018-03-29,76.28,78.56,75.56,77.75,13274639.0
2018-04-02,77.74,78.51,73.86,75.63,18821575.0
2018-04-03,76.14,77.28,75.04,77.11,14050737.0
2018-04-04,74.88,78.99,74.8,78.77,15302608.0
2018-04-05,79.97,81.17,79.73,80.22,16627035.0
2018-04-06,78.89,79.89,76.16,77.43,18906018.0
2018-04-09,78.35,81.32,78.23,78.74,15974349.0
2018-04-10,80.47,81.21,79.76,80.85,14003640.0
2018-04-11,80.0,80.15,78.86,78.96,14503294.0
2018-04-12,79.9,82.73,79.84,81.71,16435523.0
2018-04-13,83.36,83.49,77.39,78.64,39152760.0
2018-04-16,79.28,79.81,78.13,78.55,16580538.0
2018-04-17,79.71,80.26,78.33,78.55,15501350.0
2018-04-18,78.87,79.41,77.23,77.66,16081436.0
2018-04-19,77.87,80.21,77.84,80.06,17910955.0
2018-04-20,80.64,81.08,79.22,79.81,15584384.0
2018-04-23,79.91,80.29,78.97,79.27,11285831.0
2018-04-24,80.09,81.24,77.93,78.75,16453112.0
2018-04-25,78.61,78.87,76.94,78.33,13548246.0
2018-04-26,78.31,79.16,77.68,78.44,10299488.0
2018-04-27,77.89,78.5,77.47,77.74,9383967.0
2018-04-30,78.09,78.64,77.09,77.12,13744860.0
2018-05-01,76.79,77.31,75.88,77.12,10503353.0
2018-05-02,76.45,77.83,76.07,76.26,12162086.0
2018-05-03,75.93,76.11,73.52,75.58,15379091.0
2018-05-04,74.77,77.08,74.32,76.77,11967906.0
2018-05-07,77.1,78.02,76.7,77.71,9356721.0
2018-05-08,77.87,79.68,77.62,79.33,12543228.0
2018-05-09,79.78,81.98,79.37,81.75,11368094.0
2018-05-10,81.53,82.78,81.09,82.63,9159709.0
2018-05-11,82.83,83.07,82.01,82.2,10253045.0
2018-05-14,82.45,83.04,82.08,82.24,8710654.0
2018-05-15,82.25,82.25,80.91,81.37,11536212.0
2018-05-16,81.23,82.03,80.97,81.68,7571089.0
2018-05-17,81.54,81.75,80.54,81.3,8617204.0
2018-05-18,81.09,81.14,79.18,79.47,11806349.0
2018-05-21,80.39,80.88,80.26,80.49,9441931.0
2018-05-22,80.69,82.63,80.63,81.35,11507550.0
2018-05-23,80.85,81.11,79.46,80.83,11453916.0
2018-05-24,80.48,80.49,78.45,79.57,14084769.0
2018-05-25,78.8,79.42,78.53,79.0,8283548.0
2018-05-29,77.52,77.54,73.3,74.27,30643840.0
2018-05-30,75.98,76.94,74.99,76.69,17490845.0
2018-05-31,76.29,76.53,74.76,75.35,19808203.0
2018-06-01,76.68,77.28,76.14,76.74,13594185.0
2018-06-04,77.33,77.6,76.61,76.79,9415437.0
2018-06-05,76.58,76.65,75.41,76.18,10415231.0
2018-06-06,77.0,79.08,76.82,78.7,15453563.0
2018-06-07,79.52,79.84,78.37,79.14,13444427.0
2018-06-08,78.96,79.48,78.4,79.45,10383168.0
2018-06-11,79.46,80.25,79.11,79.17,12642897.0
2018-06-12,79.48,79.87,77.86,78.53,15294082.0
2018-06-13,78.8,79.78,77.92,78.31,14979749.0
2018-06-14,78.62,78.7,76.12,76.37,20487343.0
2018-06-15,76.14,76.72,74.61,76.24,26028572.0
2018-06-18,75.6,76.74,75.03,76.52,9786825.0
2018-06-19,75.24,76.22,74.94,75.89,12707154.0
2018-06-20,76.52,76.98,75.78,75.88,8876903.0
2018-06-21,75.44,76.55,74.87,75.85,11048735.0
2018-06-22,76.5,76.71,73.85,74.09,19938788.0
2018-06-25,74.0,74.04,72.3,73.13,16907607.0
2018-06-26,73.05,73.55,71.45,73.2,17086772.0
2018-06-27,73.02,74.26,71.57,71.58,16276833.0
2018-06-28,72.02,73.8,71.85,73.27,14491252.0
2018-06-29,75.02,75.24,72.49,72.54,18972393.0
2018-07-02,72.06,73.43,71.72,73.42,11130044.0
2018-07-03,73.75,74.12,71.86,71.95,8311680.0
2018-07-05,73.03,73.28,72.43,72.62,10723412.0
