"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-31","17.35","17.39","17.81","16.68","","-0.29%"
"2024-12-30","17.40","17.21","19.22","16.44","","9.09%"
"2024-12-27","15.95","15.38","18.45","15.29","","8.28%"
"2024-12-26","14.73","14.99","15.93","14.55","","3.22%"
"2024-12-24","14.27","16.97","17.04","14.27","","-14.96%"
"2024-12-23","16.78","18.09","20.02","16.74","","-8.61%"
"2024-12-20","18.36","24.14","26.51","17.82","","-23.79%"
"2024-12-19","24.09","21.61","24.12","20.16","","-12.78%"
"2024-12-18","27.62","15.57","28.32","14.82","","74.04%"
"2024-12-17","15.87","14.98","15.94","14.78","","8.03%"
"2024-12-16","14.69","14.37","14.69","13.99","","6.37%"
"2024-12-13","13.81","13.57","14.25","13.24","","-0.79%"
"2024-12-12","13.92","13.73","13.95","13.39","","2.50%"
"2024-12-11","13.58","14.42","14.43","13.52","","-4.23%"
"2024-12-10","14.18","14.30","14.54","13.86","","-0.07%"
"2024-12-9","14.19","13.36","14.23","13.35","","11.12%"
"2024-12-6","12.77","13.62","13.74","12.70","","-5.69%"
"2024-12-5","13.54","13.46","13.70","13.26","","0.67%"
"2024-12-4","13.45","13.16","13.61","12.89","","1.13%"
"2024-12-3","13.30","13.38","13.77","13.19","","-0.30%"
"2024-12-2","13.34","14.08","14.10","13.30","","-1.26%"
"2024-11-29","13.51","14.00","14.15","13.49","","-2.81%"
"2024-11-28","13.90","14.07","14.07","13.87","","-1.42%"
"2024-11-27","14.10","14.28","15.13","13.96","","0.00%"
"2024-11-26","14.10","14.95","15.03","13.88","","-3.42%"
"2024-11-25","14.60","15.23","15.72","14.54","","-4.20%"
"2024-11-22","15.24","16.67","17.56","15.24","","-9.66%"
"2024-11-21","16.87","17.10","17.99","15.73","","-1.69%"
"2024-11-20","17.16","16.19","18.79","16.04","","4.95%"
"2024-11-19","16.35","15.44","17.93","15.37","","4.94%"
"2024-11-18","15.58","16.60","17.00","15.35","","-3.47%"
"2024-11-15","16.14","15.02","17.55","14.56","","12.79%"
"2024-11-14","14.31","14.17","14.32","13.59","","2.07%"
"2024-11-13","14.02","15.09","15.26","13.77","","-4.69%"
"2024-11-12","14.71","15.09","15.37","14.69","","-1.74%"
"2024-11-11","14.97","15.33","15.56","14.89","","0.20%"
"2024-11-8","14.94","15.13","15.33","14.66","","-1.71%"
"2024-11-7","15.20","15.86","15.86","15.13","","-6.58%"
"2024-11-6","16.27","16.06","16.82","15.44","","-20.60%"
"2024-11-5","20.49","21.98","22.06","20.20","","-6.78%"
"2024-11-4","21.98","22.50","23.07","21.73","","0.46%"
"2024-11-1","21.88","22.96","23.09","21.16","","-5.53%"
"2024-10-31","23.16","21.44","23.42","21.12","","13.81%"
"2024-10-30","20.35","19.33","20.44","19.30","","5.22%"
"2024-10-29","19.34","19.75","20.53","19.06","","-2.32%"
"2024-10-28","19.80","19.11","19.88","18.91","","-2.61%"
"2024-10-25","20.33","19.22","20.51","18.23","","6.55%"
"2024-10-24","19.08","18.87","20.24","18.63","","-0.83%"
"2024-10-23","19.24","18.21","20.47","18.18","","5.71%"
"2024-10-22","18.20","18.79","19.44","18.05","","-0.93%"
"2024-10-21","18.37","18.78","19.34","18.36","","1.89%"
"2024-10-18","18.03","19.30","19.32","17.99","","-5.65%"
"2024-10-17","19.11","19.55","19.65","18.88","","-2.40%"
"2024-10-16","19.58","20.77","21.01","19.45","","-5.14%"
"2024-10-15","20.64","19.61","20.89","19.44","","4.77%"
"2024-10-14","19.70","20.86","20.86","19.69","","-3.71%"
"2024-10-11","20.46","20.87","21.16","20.14","","-2.25%"
"2024-10-10","20.93","20.91","21.39","20.64","","0.34%"
"2024-10-9","20.86","21.98","22.01","20.71","","-2.61%"
"2024-10-8","21.42","22.92","23.14","21.14","","-5.39%"
"2024-10-7","22.64","20.76","23.03","20.65","","17.86%"
"2024-10-4","19.21","20.48","20.48","18.48","","-6.25%"
"2024-10-3","20.49","19.63","20.75","19.16","","8.41%"
"2024-10-2","18.90","19.65","20.36","18.58","","-1.87%"
"2024-10-1","19.26","16.96","20.73","16.61","","15.12%"
"2024-9-30","16.73","17.01","17.79","16.47","","-1.36%"
"2024-9-27","16.96","15.64","16.97","15.20","","10.34%"
"2024-9-26","15.37","15.06","15.83","14.90","","-0.26%"
"2024-9-25","15.41","15.82","15.82","15.17","","0.13%"
"2024-9-24","15.39","15.87","16.67","15.27","","-3.15%"
"2024-9-23","15.89","16.71","16.95","15.75","","-1.61%"
"2024-9-20","16.15","16.35","16.68","15.81","","-1.10%"
"2024-9-19","16.33","17.21","17.27","16.21","","-10.42%"
"2024-9-18","18.23","17.58","19.39","17.11","","3.52%"
"2024-9-17","17.61","17.16","18.08","16.67","","2.74%"
"2024-9-16","17.14","17.16","17.69","16.91","","3.50%"
"2024-9-13","16.56","17.03","17.18","16.23","","-2.99%"
"2024-9-12","17.07","17.62","18.59","16.89","","-3.50%"
"2024-9-11","17.69","19.41","21.41","17.55","","-7.29%"
"2024-9-10","19.08","19.86","20.74","18.90","","-1.90%"
"2024-9-9","19.45","21.32","21.41","19.29","","-13.09%"
"2024-9-6","22.38","21.98","23.76","18.83","","12.46%"
"2024-9-5","19.90","20.75","21.53","19.21","","-6.66%"
"2024-9-4","21.32","23.20","23.31","19.34","","2.90%"
"2024-9-3","20.72","15.76","21.99","15.71","","33.25%"
"2024-9-2","15.55","15.87","15.99","15.48","","3.67%"
"2024-8-30","15.00","15.67","16.04","14.78","","-4.15%"
"2024-8-29","15.65","16.54","16.57","15.19","","-8.53%"
"2024-8-28","17.11","15.51","17.89","15.46","","10.89%"
"2024-8-27","15.43","16.21","16.81","15.37","","-4.46%"
"2024-8-26","16.15","16.27","16.67","15.81","","1.83%"
"2024-8-23","15.86","17.12","17.21","15.61","","-9.63%"
"2024-8-22","17.55","16.27","18.06","15.76","","7.87%"
"2024-8-21","16.27","16.25","17.17","15.92","","2.46%"
"2024-8-20","15.88","14.89","15.93","14.78","","8.40%"
"2024-8-19","14.65","15.94","16.07","14.46","","-1.01%"
"2024-8-16","14.80","15.29","15.76","14.65","","-2.82%"
"2024-8-15","15.23","16.27","16.68","14.77","","-5.93%"
"2024-8-14","16.19","18.41","18.49","16.12","","-10.65%"
"2024-8-13","18.12","20.06","20.79","17.95","","-12.51%"
"2024-8-12","20.71","20.79","21.19","18.89","","1.67%"
"2024-8-9","20.37","23.78","24.52","20.26","","-14.38%"
"2024-8-8","23.79","28.34","29.47","23.36","","-14.58%"
"2024-8-7","27.85","24.77","29.76","21.97","","0.51%"
"2024-8-6","27.71","33.71","34.77","24.02","","-28.16%"
"2024-8-5","38.57","23.39","65.73","23.39","","64.90%"
"2024-8-2","23.39","20.52","29.66","20.01","","25.82%"
"2024-8-1","18.59","16.20","19.48","15.95","","13.63%"
"2024-7-31","16.36","16.66","16.77","15.71","","-7.52%"
"2024-7-30","17.69","16.64","18.32","16.26","","6.57%"
"2024-7-29","16.60","16.59","17.21","16.23","","1.28%"
"2024-7-26","16.39","17.97","18.05","16.37","","-11.21%"
"2024-7-25","18.46","18.41","19.36","16.42","","2.33%"
"2024-7-24","18.04","15.35","18.46","15.18","","22.55%"
"2024-7-23","14.72","15.21","15.35","13.90","","-1.27%"
"2024-7-22","14.91","16.79","16.89","14.75","","-9.75%"
"2024-7-19","16.52","16.44","17.19","10.62","","3.70%"
"2024-7-18","15.93","14.27","16.43","14.08","","10.01%"
"2024-7-17","14.48","13.60","14.88","13.54","","9.78%"
"2024-7-16","13.19","13.38","13.47","12.95","","0.53%"
"2024-7-15","13.12","12.78","13.26","12.75","","5.30%"
"2024-7-12","12.46","12.87","12.89","12.11","","-3.56%"
"2024-7-11","12.92","12.88","13.33","12.23","","0.54%"
"2024-7-10","12.85","12.51","12.92","12.39","","2.72%"
"2024-7-9","12.51","12.48","12.61","12.35","","1.13%"
"2024-7-8","12.37","12.91","12.91","12.31","","-0.88%"
"2024-7-5","12.48","12.37","12.61","11.84","","1.79%"
"2024-7-4","12.26","12.10","12.35","12.09","","1.41%"
"2024-7-3","12.09","12.13","12.23","11.95","","0.50%"
"2024-7-2","12.03","12.67","12.88","11.85","","-1.55%"
"2024-7-1","12.22","12.98","13.26","12.10","","-1.77%"
"2024-6-28","12.44","12.24","12.76","11.87","","1.63%"
"2024-6-27","12.24","12.69","12.77","12.21","","-2.47%"
"2024-6-26","12.55","12.81","13.24","12.37","","-2.26%"
"2024-6-25","12.84","13.48","13.52","12.84","","-3.68%"
"2024-6-24","13.33","13.85","13.88","13.15","","0.98%"
"2024-6-21","13.20","13.22","13.78","12.99","","-0.60%"
"2024-6-20","13.28","12.50","13.55","12.18","","6.41%"
"2024-6-19","12.48","12.32","12.55","12.32","","1.46%"
"2024-6-18","12.30","12.70","12.74","12.24","","-3.53%"
"2024-6-17","12.75","13.07","13.29","12.50","","0.71%"
"2024-6-14","12.66","12.22","13.45","12.12","","6.03%"
"2024-6-13","11.94","12.05","12.68","11.88","","-0.83%"
"2024-6-12","12.04","13.10","13.15","11.94","","-6.30%"
"2024-6-11","12.85","12.85","13.47","12.78","","0.86%"
"2024-6-10","12.74","13.09","13.28","12.62","","4.26%"
"2024-6-7","12.22","12.69","13.08","12.11","","-2.86%"
"2024-6-6","12.58","12.75","12.98","12.54","","-0.40%"
"2024-6-5","12.63","13.14","13.25","12.60","","-4.03%"
"2024-6-4","13.16","13.51","14.08","13.11","","0.38%"
"2024-6-3","13.11","13.08","14.31","13.00","","1.47%"
"2024-5-31","12.92","14.50","14.87","12.84","","-10.71%"
"2024-5-30","14.47","14.82","14.88","13.67","","1.33%"
"2024-5-29","14.28","13.75","14.32","13.69","","10.53%"
"2024-5-28","12.92","12.51","13.44","12.36","","4.53%"
"2024-5-27","12.36","12.41","12.49","12.35","","3.60%"
"2024-5-24","11.93","12.86","12.89","11.89","","-6.58%"
"2024-5-23","12.77","11.53","13.37","11.52","","3.91%"
"2024-5-22","12.29","12.05","12.81","11.78","","3.63%"
"2024-5-21","11.86","12.30","12.56","11.84","","-2.39%"
"2024-5-20","12.15","12.27","12.59","12.07","","1.33%"
"2024-5-17","11.99","12.28","12.48","11.91","","-3.46%"
"2024-5-16","12.42","12.52","12.67","12.33","","-0.24%"
"2024-5-15","12.45","13.73","13.94","12.38","","-7.23%"
"2024-5-14","13.42","13.71","14.03","13.27","","-1.32%"
"2024-5-13","13.60","13.26","13.66","13.25","","8.37%"
"2024-5-10","12.55","12.77","12.96","12.50","","-1.10%"
"2024-5-9","12.69","13.08","13.29","12.68","","-2.38%"
"2024-5-8","13.00","13.24","13.51","12.94","","-1.74%"
